movieId,tmdb_id,tmdb_title,ml_year,country_group,ml_count,tmdb_count,count_ratio_tmdb_over_ml
318,278,쇼생크 탈출,1994.0,NON_KR_KNOWN,102929,31244.0,0.30354904837315044
356,13,포레스트 검프,1994.0,NON_KR_KNOWN,100296,30386.0,0.30296322884262583
296,680,펄프 픽션,1994.0,NON_KR_KNOWN,98409,30803.0,0.3130099889237773
2571,603,매트릭스,1999.0,NON_KR_KNOWN,93808,28653.0,0.3054430325771789
593,274,양들의 침묵,1991.0,NON_KR_KNOWN,90330,18441.0,0.20415144470275656
27773,670,올드보이,2003.0,KR_PRODUCTION,17331,10161.0,0.5862904621776008
202439,496243,기생충,2019.0,KR_PRODUCTION,11670,21242.0,1.820222793487575
162082,396535,부산행,2016.0,KR_PRODUCTION,3201,8682.0,2.712277413308341
275167,705996,헤어질 결심,2022.0,KR_PRODUCTION,335,1609.0,4.802985074626866
276885,619803,범죄도시 2,2022.0,KR_PRODUCTION,26,458.0,17.615384615384617
288001,955555,범죄도시 3,2023.0,KR_PRODUCTION,6,565.0,94.16666666666667
