family,group,movies,ml_rating_records,tmdb_vote_sum,ratio_of_count_totals,ratio_p5,ratio_p25,ratio_p50,ratio_p75,ratio_p95,p95_div_p5,spearman_counts,pearson_log10_counts,global_reference_ratio,within_factor2_of_global_median,within_factor4_of_global_median,within_factor2_of_own_median,tmdb_more_records_fraction,ml_more_records_fraction,equal_count_fraction
scope,ALL_PAIRED,82181,31904037,25117499,0.7872827817996826,0.4050632911392405,2.0,4.4,9.0,28.0,69.125,0.7813216124540312,0.8231248210536825,4.4,0.47250581034545697,0.7567077548338423,0.47250581034545697,0.865321668025456,0.11344471349825386,0.02123361847629014
scope,BOTH_COUNTS_GE100,10702,30700914,20799589,0.6774908720958601,0.14331547320335547,0.4338089353319343,0.9987988152127516,2.2422222675790815,6.925072934312059,48.32048333319756,0.5980068608417424,0.6462420404476461,4.4,0.22593907680807326,0.4637450943748832,0.4312278078863764,0.4985983928237713,0.5000934404784152,0.001308166697813493
scope,ML_TITLE_2020_2023,7714,273249,2225662,8.145178939355679,1.5,4.5,9.833333333333334,21.5,73.86999999999989,49.24666666666659,0.7179523346706348,0.7773581389900821,4.4,0.3588281047446202,0.6525797251750065,0.4594244231267825,0.9599429608504019,0.01075965776510241,0.02929738138449572
ml_support,ML_1_9,50747,153760,1444519,9.394634495317378,1.25,3.3333333333333335,6.0,12.0,35.24166666666659,28.19333333333327,0.4749101999177239,0.45673100318711946,4.4,0.5093503064220545,0.8072004256409245,0.5781228447001793,0.953869194238083,0.014286558811358306,0.03184424695055865
ml_support,ML_10_99,19368,601500,2795448,4.647461346633416,0.6428571428571429,1.8666666666666667,3.2981481481481483,5.936502659574468,16.636363636363637,25.87878787878788,0.41733754750011876,0.3930142501896244,4.4,0.5454874019000413,0.839580751755473,0.5729553903345725,0.8968917802560925,0.09717059066501446,0.0059376290788930195
ml_support,ML_100_999,7688,2667193,5112254,1.9167169379943634,0.1466588727541226,0.5081767875345857,1.1527847782258065,2.724359632791937,7.88872610991299,53.789627328846606,0.3123583417048154,0.3228842713072814,4.4,0.2627471383975026,0.5126170655567117,0.425468262226847,0.547996878251821,0.45044224765868884,0.0015608740894901144
ml_support,ML_1000_PLUS,4378,28481584,15765278,0.553525323591553,0.08190103196366148,0.22304255451606503,0.4514436212086131,1.021194755169368,3.1170415709293113,38.05863609035239,0.5162897302074917,0.5495233057923931,4.4,0.09090909090909091,0.2334399269072636,0.46276838739150294,0.256509821836455,0.7430333485609868,0.00045682960255824577
ml_title_epoch,BEFORE_1980,18982,3671821,1980478,0.5393721534900531,0.547657450076805,2.2857142857142856,4.333333333333333,8.0,19.0,34.69321926933595,0.817958750378909,0.8559380954177295,4.4,0.5404593825729639,0.8252028237277421,0.5419344642292698,0.8914761352860605,0.09451058897903276,0.014013275734906754
ml_title_epoch,1980s,5996,3790940,1468312,0.38732135037747895,0.23242235178572443,1.1195358649789031,3.6666666666666665,8.0,22.5,96.80652410205053,0.8348084395760668,0.86715251789563,4.4,0.41410940627084725,0.673282188125417,0.4106070713809206,0.7646764509673115,0.21914609739826552,0.016177451634422947
ml_title_epoch,1990s,7730,10710315,2883915,0.26926518967929514,0.09061197313571098,0.42087023311328536,2.5,6.5,19.493354430379735,215.13000717007046,0.7953832658231451,0.8389679287113508,4.4,0.34915912031047863,0.5719275549805951,0.3058214747736093,0.6382923673997413,0.3478654592496766,0.013842173350582148
ml_title_epoch,2000s,14727,8914996,6088662,0.6829685621844362,0.3609827545476022,1.3206695443012948,3.0,6.5,20.0,55.40430878772806,0.8213081223908391,0.8776867735725702,4.4,0.43369321654104703,0.7226862225843689,0.4617369457459089,0.796971548855843,0.18157126366537651,0.021457187478780473
ml_title_epoch,2010s,26595,4510899,10331159,2.290266086649247,1.0,2.772727272727273,5.0,10.0,30.0,30.0,0.7960290774192588,0.8592257713781362,4.4,0.5280315848843767,0.8294040233126527,0.547508930250047,0.9468321112991164,0.028050385410791502,0.025117503290092123
ml_title_epoch,2020_2023,7714,273249,2225662,8.145178939355679,1.5,4.5,9.833333333333334,21.5,73.86999999999989,49.24666666666659,0.7179523346706348,0.7773581389900821,4.4,0.3588281047446202,0.6525797251750065,0.4594244231267825,0.9599429608504019,0.01075965776510241,0.02929738138449572
ml_title_epoch,YEAR_UNKNOWN,437,31817,139311,4.378508344595656,0.8927125506072875,1.6666666666666667,3.0,6.790055248618785,16.438509316770183,18.41411247728905,0.7661918372906934,0.8591995224784145,4.4,0.43935926773455375,0.7551487414187643,0.5102974828375286,0.7986270022883295,0.05263157894736842,0.14874141876430205
country,KR_PRODUCTION,1164,106726,236290,2.2139872196090926,1.4683179837591604,3.631133952254642,6.433035714285714,12.0,34.972727272727255,23.818224430644598,0.7993381692701143,0.8159277741618088,4.4,0.5326460481099656,0.8238831615120275,0.563573883161512,0.9733676975945017,0.022336769759450172,0.00429553264604811
country,NON_KR_KNOWN,77333,31774384,24833362,0.781552901230123,0.3956401322254981,2.0,4.5,9.0,28.0,70.77138469876253,0.7844323574516734,0.8256437291232609,4.4,0.4718166888650382,0.7551498066802013,0.48410122457424387,0.8663313203936224,0.11601774145578214,0.017650938150595475
country,COUNTRY_MISSING,3684,22927,47847,2.086928076067519,0.5,1.5763888888888888,3.0,6.0,15.0,30.0,0.4851409078095577,0.4731211968251786,4.4,0.46796959826275786,0.7681867535287731,0.5325732899022801,0.8099891422366993,0.08821932681867535,0.10179153094462541
recent_year,2020,2521,99252,607227,6.118032885987184,1.3333333333333333,3.8333333333333335,7.75,15.666666666666666,43.166666666666664,32.375,0.760271050159582,0.8061583868999443,4.4,0.4161047203490678,0.742959143197144,0.49702499008330026,0.9599365331217771,0.014280047600158666,0.02578341927806426
recent_year,2021,2227,83330,644327,7.732233289331573,1.0,4.016887626262626,9.0,19.076940639269406,64.23333333333326,64.23333333333326,0.7358085083180828,0.8007405483190984,4.4,0.3834755276156264,0.673551863493489,0.469690166142793,0.9474629546475078,0.010776829815895825,0.04176021553659632
recent_year,2022,2032,69924,599700,8.576454436245067,1.8265151515151516,5.0874125874125875,11.258333333333333,25.765389876880985,82.0,44.894234757362085,0.7143966945607543,0.7769055965592363,4.4,0.33267716535433073,0.6058070866141733,0.43996062992125984,0.9640748031496063,0.010826771653543307,0.025098425196850394
