movieId,tmdb_id,display_title,ml_year,tmdb_year,ml_count,ml_mean_5,tmdb_count,tmdb_mean_10,tmdb_mean_5_rescaled
27773,670.0,올드보이,2003.0,2003.0,17331,4.089463966303156,10161.0,8.234,4.117
202439,496243.0,기생충,2019.0,2019.0,11670,4.312253641816624,21242.0,8.49,4.245
107406,110415.0,설국열차,2013.0,2013.0,8582,3.5414821719878815,10645.0,6.91,3.455
27660,55931.0,애니매트릭스,2003.0,2003.0,5265,3.6545109211775877,1835.0,7.2,3.6
162082,396535.0,부산행,2016.0,2016.0,3201,3.836144954701656,8682.0,7.75,3.875
31364,11423.0,살인의 추억,2003.0,2003.0,2860,4.048426573426574,4786.0,8.062,4.031
158783,290098.0,아가씨,2016.0,2016.0,2710,4.1001845018450185,4474.0,8.177,4.0885
8014,113.0,봄 여름 가을 겨울 그리고 봄,2003.0,2003.0,2678,3.994958924570575,1236.0,7.799,3.8995
51709,1255.0,괴물,2006.0,2006.0,2243,3.5115916183682567,3232.0,6.979,3.4895
42632,4550.0,친절한 금자씨,2005.0,2005.0,1983,3.811396873424105,2014.0,7.519,3.7595
