role,round,activity,users,user_share,pre_rating_rows,pre_rating_share,post_catalog_2plus_users,pre_catalog_30plus_users,original_temporal_eligible_users
RAW_ALL,-1,0,28379,0.14122559070008162,0,0.0,28379,0,0
RAW_ALL,-1,1_9,145,0.000721579712164341,679,2.6135984797556013e-05,145,0,0
RAW_ALL,-1,10_29,30858,0.15356211557218782,735016,0.02829214580553819,396,0,0
RAW_ALL,-1,30_99,74420,0.370344566753588,4165395,0.16033387392609105,1123,74300,1119
RAW_ALL,-1,100_299,45934,0.22858649999004718,7763526,0.2988326914748613,2183,45934,2183
RAW_ALL,-1,300_PLUS,21212,0.10555964727193105,13314891,0.5125151528087118,3635,21212,3635
DEVELOPMENT_ALLOWED,-1,0,8188,0.1417590027700831,0,0.0,8188,0,0
DEVELOPMENT_ALLOWED,-1,1_9,37,0.0006405817174515235,155,2.076473991761355e-05,37,0,0
DEVELOPMENT_ALLOWED,-1,10_29,8892,0.15394736842105264,211867,0.028382988078226,111,0,0
DEVELOPMENT_ALLOWED,-1,30_99,21347,0.3695810249307479,1198966,0.16062075587136418,327,21316,325
DEVELOPMENT_ALLOWED,-1,100_299,13281,0.2299342105263158,2249820,0.30139953007384074,588,13281,588
DEVELOPMENT_ALLOWED,-1,300_PLUS,6015,0.10413781163434903,3803769,0.5095759612366515,1010,6015,1010
EVALUATION_POOL,-1,0,611,0.15998952605394082,0,0.0,611,0,0
EVALUATION_POOL,-1,1_9,1,0.0002618486514794449,7,6.593510102199407e-06,1,0,0
EVALUATION_POOL,-1,10_29,10,0.002618486514794449,213,0.00020063109310978195,10,0,0
EVALUATION_POOL,-1,30_99,368,0.09636030374443572,31418,0.029593557198700136,24,368,24
EVALUATION_POOL,-1,100_299,1763,0.4616391725582613,326902,0.3079188056327415,89,1763,89
EVALUATION_POOL,-1,300_PLUS,1066,0.27913066247708823,703110,0.6622804125653464,187,1066,187
VALIDATION,-1,0,0,0.0,0,0.0,0,0,0
VALIDATION,-1,1_9,0,0.0,0,0.0,0,0,0
VALIDATION,-1,10_29,0,0.0,0,0.0,0,0,0
VALIDATION,-1,30_99,62,0.20666666666666667,3977,0.02386639141602055,62,62,62
VALIDATION,-1,100_299,78,0.26,14799,0.08881034110276291,78,78,78
VALIDATION,-1,300_PLUS,160,0.5333333333333333,147860,0.8873232674812166,160,160,160
EVALUATION,-1,0,0,0.0,0,0.0,0,0,0
EVALUATION,-1,1_9,0,0.0,0,0.0,0,0,0
EVALUATION,-1,10_29,0,0.0,0,0.0,0,0,0
EVALUATION,-1,30_99,24,0.08,1725,0.008762127292121705,24,24,24
EVALUATION,-1,100_299,89,0.2966666666666667,17704,0.08992736323462183,89,89,89
EVALUATION,-1,300_PLUS,187,0.6233333333333333,177441,0.9013105094732564,187,187,187
TRAIN_SELECTED,0,0,0,0.0,0,0.0,0,0,0
TRAIN_SELECTED,0,1_9,0,0.0,0,0.0,0,0,0
TRAIN_SELECTED,0,10_29,1872,0.156,45212,0.02608695150441947,23,0,0
TRAIN_SELECTED,0,30_99,5533,0.46108333333333335,315601,0.18209917680585438,62,5526,61
TRAIN_SELECTED,0,100_299,3236,0.26966666666666667,542218,0.3128553187389037,121,3236,121
TRAIN_SELECTED,0,300_PLUS,1359,0.11325,830096,0.4789585529508224,183,1359,183
TRAIN_SELECTED,1,0,0,0.0,0,0.0,0,0,0
TRAIN_SELECTED,1,1_9,0,0.0,0,0.0,0,0,0
TRAIN_SELECTED,1,10_29,1865,0.15541666666666668,45049,0.026469454570239328,19,0,0
TRAIN_SELECTED,1,30_99,5562,0.4635,318982,0.1874243503235162,65,5554,63
TRAIN_SELECTED,1,100_299,3254,0.27116666666666667,540165,0.3173849126047932,119,3254,119
TRAIN_SELECTED,1,300_PLUS,1319,0.10991666666666666,797728,0.4687212825014513,158,1319,158
TRAIN_SELECTED,2,0,0,0.0,0,0.0,0,0,0
TRAIN_SELECTED,2,1_9,0,0.0,0,0.0,0,0,0
TRAIN_SELECTED,2,10_29,1875,0.15625,44989,0.026779405768503885,14,0,0
TRAIN_SELECTED,2,30_99,5534,0.46116666666666667,316719,0.18852489754372806,61,5522,61
TRAIN_SELECTED,2,100_299,3287,0.27391666666666664,544250,0.3239612258442784,116,3287,116
TRAIN_SELECTED,2,300_PLUS,1304,0.10866666666666666,774027,0.4607344708434897,158,1304,158
TRAIN_ORIGINAL_ROLE_POOL,0,0,6579,0.14186217008797655,0,0.0,6579,0,0
TRAIN_ORIGINAL_ROLE_POOL,0,1_9,30,0.0006468863205106089,135,2.3651558926807887e-05,30,0,0
TRAIN_ORIGINAL_ROLE_POOL,0,10_29,7439,0.16040624460928066,177358,0.031072542134376244,88,0,0
TRAIN_ORIGINAL_ROLE_POOL,0,30_99,17606,0.37963601863032603,983656,0.17233331739043065,269,17577,267
