kobis_movie_code,kobis_title,kobis_nation_filter,kobis_open_date,kobis_audience_cumulative,kobis_sales_krw_cumulative,tmdb_id,tmdb_title,tmdb_release_date,tmdb_count,tmdb_mean_10,tmdb_mean_5_rescaled,service_movie_id,movieId,ml_year,ml_count,ml_mean_5,audience_per_tmdb_vote,tmdb_votes_per_million_audience,audience_band,kobis_open_year,ml_halfstar_sum,ml_halfstar_square_sum,ml_within_film_sample_sd_5,ml_within_film_sd_supported
20129370,명량,K,2014-07-30,17616791,135765176310,282631.0,명량,2014-07-30,338.0,6.993,3.4965,57227.0,132381.0,2014.0,83.0,3.5060240963855422,52120.68343195266,19.186241126434435,"1,000만 이상",2014,582,4364,0.9288531346524846,True
20182530,극한직업,K,2019-01-23,16266641,139658409516,567646.0,극한직업,2019-01-23,368.0,7.174,3.587,76119.0,199992.0,2019.0,75.0,3.7133333333333334,44202.828804347824,22.622986515777903,"1,000만 이상",2019,557,4389,0.9233214621801675,True
20150976,신과함께-죄와 벌,K,2017-12-20,14414658,115727528087,397567.0,신과함께-죄와 벌,2017-12-20,1254.0,8.1,4.05,65942.0,183397.0,2017.0,88.0,3.5170454545454546,11494.942583732058,86.99477989696321,"1,000만 이상",2017,619,4585,0.8145546122274064,True
20137048,국제시장,K,2014-12-17,14269712,110982017230,313108.0,국제시장,2014-12-17,143.0,7.399,3.6995,59652.0,152846.0,2014.0,24.0,3.625,99788.1958041958,10.021225375816975,"1,000만 이상",2014,174,1322,0.8109307588519342,True
20148048,베테랑,K,2015-08-05,13414649,105171985250,346646.0,베테랑,2015-08-05,259.0,6.894,3.447,62671.0,141536.0,2015.0,60.0,3.5416666666666665,51794.01158301158,19.30725134887987,"1,000만 이상",2015,425,3153,0.7772815877574012,True
20127593,7번방의 선물,K,2013-01-23,12812473,91439584170,158445.0,7번방의 선물,2013-01-23,506.0,7.892,3.946,140173.0,105340.0,2013.0,102.0,3.8676470588235294,25321.092885375496,39.49276615060965,"1,000만 이상",2013,789,6387,0.8382161356361311,True
20148851,암살,K,2015-07-22,12707491,98473432681,291549.0,암살,2015-07-22,288.0,7.288,3.644,58219.0,141538.0,2015.0,53.0,3.5660377358490565,44123.23263888889,22.663797283035652,"1,000만 이상",2015,378,2792,0.6796332144921472,True
20204548,범죄도시2,K,2022-05-18,12693415,131298796478,619803.0,범죄도시 2,2022-05-18,458.0,7.334,3.667,78536.0,276885.0,2022.0,26.0,3.3461538461538463,27714.879912663757,36.081700629814755,"1,000만 이상",2022,174,1214,0.7038356451506383,True
20124079,"광해, 왕이 된 남자",K,2012-09-13,12324238,88914959969,133200.0,"광해, 왕이 된 남자",2012-09-13,177.0,7.7,3.85,42590.0,106109.0,2012.0,65.0,3.5307692307692307,69628.46327683616,14.361942701853048,"1,000만 이상",2012,459,3509,1.022699106061241,True
20186202,신과함께-인과 연,K,2018-08-01,12278010,102689349539,518068.0,신과함께-인과 연,2018-08-01,776.0,8.053,4.0265,74127.0,192749.0,2018.0,41.0,3.6951219512195124,15822.177835051547,63.20242449712942,"1,000만 이상",2018,303,2321,0.7148255799536678,True
20162869,택시운전사,K,2017-08-02,12189988,95873490149,437068.0,택시운전사,2017-08-02,1215.0,8.032,4.016,68859.0,179779.0,2017.0,232.0,3.7974137931034484,10032.911934156378,99.67196030053516,"1,000만 이상",2017,1762,14036,0.8412484236449523,True
20156564,부산행,K,2016-07-20,11567816,93188170548,396535.0,부산행,2016-07-20,8682.0,7.75,3.875,65874.0,162082.0,2016.0,3201.0,3.836144954701656,1332.39069338862,750.5306100996073,"1,000만 이상",2016,24559,197283,0.831942010588219,True
20134803,변호인,K,2013-12-18,11375399,82876713788,242452.0,변호인,2013-12-18,231.0,7.797,3.8985,53364.0,121316.0,2013.0,54.0,3.861111111111111,49244.15151515151,20.306980001316877,"1,000만 이상",2013,417,3313,0.6617349029339515,True
20090074,해운대,K,2009-07-22,11325117,81028720000,33196.0,해운대,2009-07-22,505.0,6.9,3.45,15635.0,104590.0,2009.0,32.0,2.640625,22425.974257425743,44.59115080223896,"1,000만 이상",2009,169,1057,1.1516774231948694,True
